batch_size,learning_rate,epochs_config,epoch,train_loss,val_loss
32,3e-05,4,6,0.6844971,0.57434136
32,3e-05,4,7,0.67639977,0.5656021
32,3e-05,4,8,0.67506063,0.54560804
32,3e-05,4,9,0.675814,0.54716426
32,3e-05,4,10,0.6734161,0.5576799
32,3e-05,4,11,0.67756075,0.6418233
32,3e-05,4,12,0.6665974,0.6551618
32,3e-05,4,13,0.6540853,0.66035366
32,3e-05,4,14,0.6629128,0.6641478
32,2e-05,2,1,0.6894024,0.6710019
32,2e-05,2,2,0.6922369,0.6321639
32,2e-05,2,3,0.6967985,0.6092352
32,2e-05,2,4,0.69707495,0.5894161
32,2e-05,2,5,0.6909026,0.5816634
32,2e-05,2,6,0.6877032,0.5741325
32,2e-05,2,7,0.6855575,0.5895915
32,2e-05,2,8,0.6797461,0.5880051
32,2e-05,2,9,0.67808527,0.58146566
32,2e-05,2,10,0.6525272,0.583229
32,2e-05,3,1,0.67188334,0.6299781
32,2e-05,3,2,0.6872303,0.607153
32,2e-05,3,3,0.67016727,0.61232823
32,2e-05,3,4,0.6743835,0.61149436
32,2e-05,3,5,0.6647836,0.6127757
32,2e-05,3,6,0.68436587,0.63091797
32,2e-05,3,7,0.67529,0.6361546
32,2e-05,4,1,0.657041,0.80837923
32,2e-05,4,2,0.679888,0.8241167
32,2e-05,4,3,0.6696761,0.73592967
32,2e-05,4,4,0.67609406,0.71786577
32,2e-05,4,5,0.6941938,0.68423724
32,2e-05,4,6,0.6926034,0.65471834
32,2e-05,4,7,0.6897106,0.64677554
32,2e-05,4,8,0.6874619,0.63598746
32,2e-05,4,9,0.6850137,0.61740845
32,2e-05,4,10,0.68042386,0.59296864
32,2e-05,4,11,0.6797356,0.5729849
32,2e-05,4,12,0.68010193,0.55984
32,2e-05,4,13,0.678979,0.54641896
32,2e-05,4,14,0.6810298,0.53895074
32,2e-05,4,15,0.6802967,0.5332145
32,2e-05,4,16,0.68238765,0.5330389
32,2e-05,4,17,0.6811037,0.5351725
32,2e-05,4,18,0.61480904,0.53620803
32,2e-05,4,19,0.61250997,0.5351397
32,2e-05,4,20,0.6174754,0.5386961
32,2e-05,4,21,0.6467441,0.54620284
